0.761999845505
         436836 function calls (433877 primitive calls) in 1.695 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.528    0.000    0.755    0.000 {method 'from_sample' of 'pomegranate.distributions.ConditionalProbabilityTable' objects}
       28    0.176    0.006    0.176    0.006 {method 'read' of 'file' objects}
    22133    0.093    0.000    0.093    0.000 {numpy.core.multiarray.array}
      798    0.090    0.000    0.090    0.000 {imp.find_module}
     2516    0.052    0.000    0.052    0.000 {nt.stat}
       33    0.037    0.001    0.239    0.007 __init__.py:1(<module>)
    10001    0.034    0.000    0.113    0.000 fromnumeric.py:2355(cumprod)
        1    0.026    0.026    0.030    0.030 qt4_compat.py:2(<module>)
    10001    0.024    0.000    0.079    0.000 fromnumeric.py:40(_wrapit)
    10001    0.024    0.000    0.024    0.000 {method 'cumprod' of 'numpy.ndarray' objects}
      218    0.021    0.000    0.057    0.000 doccer.py:12(docformat)
    10001    0.017    0.000    0.017    0.000 {numpy.core.multiarray.copyto}
       21    0.016    0.001    0.016    0.001 {nt.popen}
    10023    0.015    0.000    0.015    0.000 {numpy.core.multiarray.empty}
        1    0.014    0.014    0.020    0.020 contour.py:4(<module>)
    20022    0.011    0.000    0.103    0.000 numeric.py:394(asarray)
      7/4    0.010    0.001    0.654    0.163 {imp.load_dynamic}
     6187    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
      798    0.009    0.000    0.130    0.000 pyximport.py:239(find_module)
        4    0.008    0.002    0.036    0.009 __init__.py:4(<module>)
        1    0.008    0.008    1.707    1.707 ConditionalUpdate.py:3(<module>)
    10001    0.008    0.000    0.040    0.000 numeric.py:141(ones)
     6296    0.008    0.000    0.008    0.000 {method 'splitlines' of 'str' objects}
  496/130    0.007    0.000    0.019    0.000 sre_parse.py:380(_parse)
     2409    0.007    0.000    0.057    0.000 genericpath.py:26(isfile)
      218    0.007    0.000    0.011    0.000 doccer.py:128(indentcount_lines)
        2    0.007    0.003    0.018    0.009 machar.py:113(_do_init)
       73    0.006    0.000    0.006    0.000 {method 'close' of 'file' objects}
        1    0.006    0.006    0.006    0.006 {cPickle.load}
    16026    0.005    0.000    0.005    0.000 {getattr}
    75674    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
